Entity,Code,Year,Number of reported natural disasters - Earthquakes
Algeria,DZA,1959,1
Algeria,DZA,1960,1
Algeria,DZA,1965,1
Algeria,DZA,1967,1
Algeria,DZA,1968,1
Algeria,DZA,1975,1
Algeria,DZA,1980,1
Algeria,DZA,1985,1
Algeria,DZA,1987,1
Algeria,DZA,1988,1
Algeria,DZA,1989,1
Algeria,DZA,1994,1
Algeria,DZA,1999,1
Algeria,DZA,2003,2
Algeria,DZA,2004,3
Algeria,DZA,2006,1
Algeria,DZA,2008,2
Algeria,DZA,2010,1
Algeria,DZA,2013,2
Algeria,DZA,2014,2
Algeria,DZA,2016,1
Algeria,DZA,2021,1
Antarctica,ATA,1973,1
Antarctica,ATA,1998,1
Antarctica,ATA,2003,1
Antarctica,ATA,2013,1
Antarctica,ATA,2021,1
Antigua and Barbuda,ATG,1690,1
Antigua and Barbuda,ATG,1802,1
Antigua and Barbuda,ATG,1974,1
Argentina,ARG,1692,1
Argentina,ARG,1782,1
Argentina,ARG,1817,1
Argentina,ARG,1826,1
Argentina,ARG,1844,1
Argentina,ARG,1861,1
Argentina,ARG,1863,1
Argentina,ARG,1871,1
Argentina,ARG,1874,1
Argentina,ARG,1892,1
Argentina,ARG,1894,1
Argentina,ARG,1898,1
Argentina,ARG,1899,1
Argentina,ARG,1903,1
Argentina,ARG,1908,1
Argentina,ARG,1912,1
Argentina,ARG,1916,1
Argentina,ARG,1920,1
Argentina,ARG,1927,1
Argentina,ARG,1929,1
Argentina,ARG,1930,1
Argentina,ARG,1934,1
Argentina,ARG,1936,1
Argentina,ARG,1940,1
Argentina,ARG,1942,1
Argentina,ARG,1944,1
Argentina,ARG,1948,1
Argentina,ARG,1952,1
Argentina,ARG,1959,1
Argentina,ARG,1974,1
Argentina,ARG,1977,1
Argentina,ARG,1985,1
Argentina,ARG,2002,1
Argentina,ARG,2004,1
Argentina,ARG,2006,1
Argentina,ARG,2008,1
Argentina,ARG,2010,1
Argentina,ARG,2015,1
Argentina,ARG,2021,1
Armenia,ARM,735,1
Armenia,ARM,851,1
Armenia,ARM,854,1
Armenia,ARM,856,1
Armenia,ARM,893,1
Armenia,ARM,1683,1
Armenia,ARM,1692,1
Armenia,ARM,1880,1
Armenia,ARM,1931,1
Armenia,ARM,1968,2
Armenia,ARM,1988,1
Armenia,ARM,1998,1
Asia,OWID_ASI,-2150,1
Asia,OWID_ASI,-2000,2
Asia,OWID_ASI,-1566,1
Asia,OWID_ASI,-1365,1
Asia,OWID_ASI,-1250,1
Asia,OWID_ASI,-1050,1
Asia,OWID_ASI,-759,1
Asia,OWID_ASI,-590,1
Asia,OWID_ASI,-525,1
Asia,OWID_ASI,-400,1
Asia,OWID_ASI,-326,1
Asia,OWID_ASI,-282,1
Asia,OWID_ASI,-250,1
Asia,OWID_ASI,-193,1
Asia,OWID_ASI,-186,1
Asia,OWID_ASI,-70,1
Asia,OWID_ASI,-50,1
Asia,OWID_ASI,-47,1
Asia,OWID_ASI,-33,1
Asia,OWID_ASI,-31,1
Asia,OWID_ASI,-26,1
Asia,OWID_ASI,10,1
Asia,OWID_ASI,11,1
Asia,OWID_ASI,17,1
Asia,OWID_ASI,25,1
Asia,OWID_ASI,27,1
Asia,OWID_ASI,29,1
Asia,OWID_ASI,33,1
Asia,OWID_ASI,37,1
Asia,OWID_ASI,46,1
Asia,OWID_ASI,50,1
Asia,OWID_ASI,52,1
Asia,OWID_ASI,60,1
Asia,OWID_ASI,68,1
Asia,OWID_ASI,89,1
Asia,OWID_ASI,93,1
Asia,OWID_ASI,100,1
Asia,OWID_ASI,105,1
Asia,OWID_ASI,109,1
Asia,OWID_ASI,115,1
Asia,OWID_ASI,120,1
Asia,OWID_ASI,123,1
Asia,OWID_ASI,128,1
Asia,OWID_ASI,138,1
Asia,OWID_ASI,143,1
Asia,OWID_ASI,173,1
Asia,OWID_ASI,177,1
Asia,OWID_ASI,180,1
Asia,OWID_ASI,181,1
Asia,OWID_ASI,253,1
Asia,OWID_ASI,262,1
Asia,OWID_ASI,294,2
Asia,OWID_ASI,304,1
Asia,OWID_ASI,306,1
Asia,OWID_ASI,315,1
Asia,OWID_ASI,319,1
Asia,OWID_ASI,340,1
Asia,OWID_ASI,341,2
Asia,OWID_ASI,344,2
Asia,OWID_ASI,348,1
Asia,OWID_ASI,350,1
Asia,OWID_ASI,355,1
Asia,OWID_ASI,358,1
Asia,OWID_ASI,362,2
Asia,OWID_ASI,367,1
Asia,OWID_ASI,368,2
Asia,OWID_ASI,394,1
Asia,OWID_ASI,395,1
Asia,OWID_ASI,407,1
Asia,OWID_ASI,419,1
Asia,OWID_ASI,425,1
Asia,OWID_ASI,427,1
Asia,OWID_ASI,440,1
Asia,OWID_ASI,447,1
Asia,OWID_ASI,450,1
Asia,OWID_ASI,457,1
Asia,OWID_ASI,458,1
Asia,OWID_ASI,460,2
Asia,OWID_ASI,477,1
Asia,OWID_ASI,478,1
Asia,OWID_ASI,484,1
Asia,OWID_ASI,494,1
Asia,OWID_ASI,499,1
Asia,OWID_ASI,500,1
Asia,OWID_ASI,501,1
Asia,OWID_ASI,510,1
Asia,OWID_ASI,512,1
Asia,OWID_ASI,522,1
Asia,OWID_ASI,525,1
Asia,OWID_ASI,528,1
Asia,OWID_ASI,533,1
Asia,OWID_ASI,543,1
Asia,OWID_ASI,551,1
Asia,OWID_ASI,552,1
Asia,OWID_ASI,553,1
Asia,OWID_ASI,555,1
Asia,OWID_ASI,557,3
Asia,OWID_ASI,558,1
Asia,OWID_ASI,565,1
Asia,OWID_ASI,579,1
Asia,OWID_ASI,581,1
Asia,OWID_ASI,587,1
Asia,OWID_ASI,600,1
Asia,OWID_ASI,634,1
Asia,OWID_ASI,649,1
Asia,OWID_ASI,662,1
Asia,OWID_ASI,664,1
Asia,OWID_ASI,678,1
Asia,OWID_ASI,684,1
Asia,OWID_ASI,688,1
Asia,OWID_ASI,701,1
Asia,OWID_ASI,704,1
Asia,OWID_ASI,713,1
Asia,OWID_ASI,715,1
Asia,OWID_ASI,716,1
Asia,OWID_ASI,734,1
Asia,OWID_ASI,735,1
Asia,OWID_ASI,740,1
Asia,OWID_ASI,742,1
Asia,OWID_ASI,743,1
Asia,OWID_ASI,744,1
Asia,OWID_ASI,745,2
Asia,OWID_ASI,746,1
Asia,OWID_ASI,748,1
Asia,OWID_ASI,749,1
Asia,OWID_ASI,758,1
Asia,OWID_ASI,763,1
Asia,OWID_ASI,766,1
Asia,OWID_ASI,777,1
Asia,OWID_ASI,778,1
Asia,OWID_ASI,780,1
Asia,OWID_ASI,788,1
Asia,OWID_ASI,803,1
Asia,OWID_ASI,814,1
Asia,OWID_ASI,818,2
Asia,OWID_ASI,820,1
Asia,OWID_ASI,835,1
Asia,OWID_ASI,838,1
Asia,OWID_ASI,844,1
Asia,OWID_ASI,845,1
Asia,OWID_ASI,846,1
Asia,OWID_ASI,847,2
Asia,OWID_ASI,850,2
Asia,OWID_ASI,851,1
Asia,OWID_ASI,854,1
Asia,OWID_ASI,855,1
Asia,OWID_ASI,856,2
Asia,OWID_ASI,858,2
Asia,OWID_ASI,859,1
Asia,OWID_ASI,860,1
Asia,OWID_ASI,863,4
Asia,OWID_ASI,864,1
Asia,OWID_ASI,869,2
Asia,OWID_ASI,871,1
Asia,OWID_ASI,876,1
Asia,OWID_ASI,878,1
Asia,OWID_ASI,887,2
Asia,OWID_ASI,891,1
Asia,OWID_ASI,893,1
Asia,OWID_ASI,898,1
Asia,OWID_ASI,910,1
Asia,OWID_ASI,912,1
Asia,OWID_ASI,922,1
Asia,OWID_ASI,942,2
Asia,OWID_ASI,943,1
Asia,OWID_ASI,951,1
Asia,OWID_ASI,953,1
Asia,OWID_ASI,956,1
Asia,OWID_ASI,957,2
Asia,OWID_ASI,958,2
Asia,OWID_ASI,967,1
Asia,OWID_ASI,972,1
Asia,OWID_ASI,977,1
Asia,OWID_ASI,978,1
Asia,OWID_ASI,986,1
Asia,OWID_ASI,989,1
Asia,OWID_ASI,991,1
Asia,OWID_ASI,999,2
Asia,OWID_ASI,1000,1
Asia,OWID_ASI,1001,1
Asia,OWID_ASI,1003,1
Asia,OWID_ASI,1007,1
Asia,OWID_ASI,1008,1
Asia,OWID_ASI,1010,1
Asia,OWID_ASI,1022,1
Asia,OWID_ASI,1026,1
Asia,OWID_ASI,1033,1
Asia,OWID_ASI,1036,2
Asia,OWID_ASI,1037,1
Asia,OWID_ASI,1038,1
Asia,OWID_ASI,1039,1
Asia,OWID_ASI,1042,2
Asia,OWID_ASI,1045,1
Asia,OWID_ASI,1046,1
Asia,OWID_ASI,1052,2
Asia,OWID_ASI,1057,1
Asia,OWID_ASI,1058,1
Asia,OWID_ASI,1063,2
Asia,OWID_ASI,1064,1
Asia,OWID_ASI,1065,1
Asia,OWID_ASI,1066,1
Asia,OWID_ASI,1067,1
Asia,OWID_ASI,1068,2
Asia,OWID_ASI,1072,1
Asia,OWID_ASI,1076,1
Asia,OWID_ASI,1082,1
Asia,OWID_ASI,1085,2
Asia,OWID_ASI,1086,1
Asia,OWID_ASI,1088,2
Asia,OWID_ASI,1089,1
Asia,OWID_ASI,1091,1
Asia,OWID_ASI,1096,1
Asia,OWID_ASI,1099,1
Asia,OWID_ASI,1101,1
Asia,OWID_ASI,1102,2
Asia,OWID_ASI,1106,1
Asia,OWID_ASI,1109,1
Asia,OWID_ASI,1111,1
Asia,OWID_ASI,1114,2
Asia,OWID_ASI,1115,3
Asia,OWID_ASI,1119,1
Asia,OWID_ASI,1125,1
Asia,OWID_ASI,1130,2
Asia,OWID_ASI,1137,1
Asia,OWID_ASI,1139,1
Asia,OWID_ASI,1143,2
Asia,OWID_ASI,1149,1
Asia,OWID_ASI,1151,1
Asia,OWID_ASI,1155,1
Asia,OWID_ASI,1156,1
Asia,OWID_ASI,1157,1
Asia,OWID_ASI,1158,1
Asia,OWID_ASI,1160,1
Asia,OWID_ASI,1169,1
Asia,OWID_ASI,1171,1
Asia,OWID_ASI,1175,2
Asia,OWID_ASI,1176,1
Asia,OWID_ASI,1179,1
Asia,OWID_ASI,1182,1
Asia,OWID_ASI,1183,1
Asia,OWID_ASI,1202,2
Asia,OWID_ASI,1208,2
Asia,OWID_ASI,1209,2
